System,Information
Total Disk,523762659328
Name,"('Windows', 'DESKTOP-4HBDBJJ', '10', '10.0.16299', 'AMD64', 'Intel64 Family 6 Model 158 Stepping 9, GenuineIntel')"
Python Version,2.7.13
Mechine,AMD64
System,Windows
Platform,Windows-10-10.0.16299
Version,10.0.16299
User,Yajana
Processor,"Intel64 Family 6 Model 158 Stepping 9, GenuineIntel"
Total Memory,8498110464
